repository_name,issue_count
Azure/azure-cli,249
OpenLiberty/open-liberty,144
docker/docs,516
bambulab/BambuStudio,322
Project-MONAI/MONAI,124
elastic/elasticsearch,240
twbs/bootstrap,111
filecoin-project/ref-fvm,200
carbon-design-system/carbon,186
PaddlePaddle/Paddle,289
qbittorrent/qBittorrent,152
microsoft/coe-starter-kit,295
ahrm/sioyek,107
Hekili/hekili,214
Shabinder/SpotiFlyer,105
withfig/fig,112
getsentry/sentry,190
satijalab/seurat,126
shelcia/noobcodes-docs,943
stackcollision/Nebulous-BugReporting,104
element-plus/element-plus,141
red-hat-storage/ocs-ci,176
apache/arrow-rs,101
apache/incubator-eventmesh,396
helidon-io/helidon,115
coral-xyz/backpack,214
ValveSoftware/Proton,101
libsdl-org/SDL,206
endoflife-date/endoflife.date,117
microsoft/fluentui,183
evcc-io/evcc,140
PyCQA/pylint,106
apache/apisix,126
apache/dubbo,104
matanki-saito/vic3jpadvmod,131
v2board/v2board,233
opencv/cvat,101
kubernetes/kubernetes,348
nextdns/metadata,170
mozilla-mobile/firefox-ios,229
hashicorp/terraform-provider-google,226
ClickHouse/ClickHouse,555
pola-rs/polars,245
status-im/status-mobile,297
microsoft/onnxruntime,111
dafny-lang/dafny,101
containers/podman,219
nim-lang/Nim,163
darktable-org/darktable,156
Azure/azure-sdk-for-net,280
louislam/uptime-kuma,186
webdriverio/webdriverio,107
mantlenetworkio/mantle,101
github/super-linter,115
foundryvtt/foundryvtt,138
sk22/megalodon,188
department-of-veterans-affairs/va.gov-cms,653
facebook/react,141
blocklistproject/Lists,101
StarRocks/starrocks,443
dart-lang/sdk,363
fleetdm/fleet,153
cosmos/cosmos-sdk,137
vuejs/core,128
facebook/lexical,112
appwrite/appwrite,123
rawandahmad698/PyChatGPT,164
nextcloud/server,242
Regalis11/Barotrauma,364
hrydgard/ppsspp,173
microsoft/pyright,184
home-assistant/core,1541
apache/inlong,381
easylist/easylist,166
Ultimaker/Cura,302
kamranahmedse/developer-roadmap,157
qnblackcat/uYouPlus,128
Jackett/Jackett,200
webcompat/web-bugs,2329
dataease/dataease,251
tloncorp/landscape-apps,313
blakeblackshear/frigate,177
dotnet/maui,460
umbraco/Umbraco-CMS,125
kyma-project/kyma,151
systemd/systemd,217
Fabricators-of-Create/Create,154
linuxmint/mint21.1-beta,181
kovidgoyal/kitty,125
yogstation13/Yogstation,130
jeecgboot/JimuReport,118
denoland/deno,276
woocommerce/woocommerce-paypal-payments,134
rancher/dashboard,312
ironmansoftware/issues,177
apache/rocketmq,170
shuding/nextra,102
laurent22/joplin,124
ironmonk88/monks-enhanced-journal,112
8bitPit/Niagara-Issues,138
yt-dlp/yt-dlp,263
primefaces/primeng,127
rancher/rancher,287
novuhq/novu,154
backstage/backstage,189
Azure/azure-sdk-for-java,193
LeetCode-Feedback/LeetCode-Feedback,1022
Flow-Launcher/Flow.Launcher,151
typescript-eslint/typescript-eslint,120
koreader/koreader,101
ventoy/Ventoy,109
ReactTooltip/react-tooltip,239
ikechan8370/chatgpt-plugin,116
raycast/extensions,280
terrastruct/d2,206
odoo/odoo,132
TomSchimansky/CustomTkinter,220
usememos/memos,162
carbon-design-system/carbon-for-ibm-dotcom,139
apache/airflow,236
pantsbuild/pants,107
triton-inference-server/server,109
trinodb/trino,157
pimcore/pimcore,106
esphome/issues,214
directus/directus,140
iptv-org/iptv,915
cowprotocol/cowswap,236
JanssenProject/jans,282
woocommerce/woocommerce-blocks,201
tailscale/tailscale,233
storybookjs/storybook,302
FrSkyRC/ETHOS-Feedback-Community,278
mui/mui-x,185
ScoopInstaller/Versions,128
minetest/minetest,101
google/oss-fuzz,122
elastic/kibana,972
platformio/platformio-home,188
prisma/prisma,254
filipedeschamps/tabnews.com.br,166
grafana/grafana,641
mozilla/multi-account-containers,105
pulumi/pulumi-aws,135
inotia00/ReVanced_Extended,113
angular/components,171
Jaliborc/Bagnon,101
apple/swift,123
Aurorastation/Aurora.3,137
hashicorp/terraform,120
storj/storj,126
iptv-org/epg,122
highcharts/highcharts,137
aptos-labs/aptos-core,171
renovatebot/renovate,149
aws/karpenter,115
Creators-of-Create/Create,214
microsoft/terminal,186
files-community/Files,369
hyprwm/Hyprland,180
laravel/framework,117
woocommerce/woocommerce,316
canonical/microk8s,225
nrwl/nx,354
dotnet/arcade,364
Azure/azure-sdk-tools,155
harvester/harvester,103
PaddlePaddle/PaddleNLP,402
microsoft/AzureStorageExplorer,147
nushell/nushell,262
status-im/status-desktop,375
hashgraph/hedera-services,104
freqtrade/freqtrade,106
datagrok-ai/public,240
sanity-io/sanity,123
chanzuckerberg/single-cell-data-portal,126
ApolloAuto/apollo,122
metabase/metabase,321
googlecolab/colabtools,108
cypress-io/cypress,363
vitest-dev/vitest,139
elastic/integrations,113
utmapp/UTM,123
damus-io/damus,100
microsoft/vscode-remote-release,602
goonstation/goonstation,253
jupyterlab/jupyterlab,104
airbytehq/airbyte,645
antvis/G6,141
keycloak/keycloak-ui,118
aws-amplify/amplify-js,113
redpanda-data/redpanda,270
GoogleForCreators/web-stories-wp,110
CanberraOceanRacingClub/namadgi3,117
Expensify/App,704
zitadel/zitadel,108
filecoin-project/notary-governance,117
opencv/opencv,134
pokeclicker/pokeclicker,100
apache/incubator-seatunnel,155
gradle/gradle,242
egc-decide-trebujena/decide,166
platformio/platformio-vscode-ide,115
