Repo,ObsProbFollowers,PvalueFollowers,Edge count,node count
languagetool-org_languagetool,0.55,0.054945054945054944,60,17
strapi_strapi,0.9310344827586207,0.000999000999000999,261,31
opencrvs_opencrvs-core,0.8378378378378378,0.000999000999000999,74,21
datagrok-ai_public,1.0,0.7272727272727273,4,4
apache_inlong,0.9365079365079365,0.000999000999000999,126,38
jmix-framework_jmix,0.75,0.4225774225774226,4,4
dotnet_arcade,0.5949367088607594,0.11988011988011989,237,25
actions_runner-images,0.8888888888888888,0.000999000999000999,342,39
conan-io_conan,1.0,0.000999000999000999,137,24
PrefectHQ_prefect,0.8387850467289719,0.000999000999000999,856,55
PaddlePaddle_PaddleOCR,1.0,0.001998001998001998,14,7
keycloak_keycloak,0.9253731343283582,0.000999000999000999,67,18
vector-im_element-web,1.0,0.000999000999000999,46,14
EddieHubCommunity_LinkFree,0.7397308162908582,0.000999000999000999,5721,247
open-metadata_OpenMetadata,0.9377289377289377,0.000999000999000999,273,34
scylladb_scylladb,0.9113924050632911,0.000999000999000999,632,53
bryntum_support,1.0,0.9660339660339661,15,6
FuelLabs_sway,0.9134860050890585,0.000999000999000999,786,45
MicrosoftDocs_microsoft-365-docs,0.8422222222222222,0.000999000999000999,450,43
carbon-design-system_carbon-for-ibm-dotcom,0.975609756097561,0.6723276723276723,41,14
spring-projects_spring-security,0.9152542372881356,0.000999000999000999,177,37
mui_material-ui,0.8446601941747572,0.000999000999000999,206,34
brave_brave-browser,0.9872611464968153,0.000999000999000999,157,30
provectus_kafka-ui,0.8362068965517241,0.000999000999000999,116,40
teambtcmap_btcmap-data,0.8695652173913043,0.000999000999000999,23,10
brave_brave-ios,1.0,0.2137862137862138,10,7
open-formulieren_open-forms,0,1.0,0,0
shelcia_noobcodes-docs,1.0,0.7312687312687313,1,2
w3c_csswg-drafts,0.36666666666666664,0.000999000999000999,660,39
cocos_cocos-engine,0.9106382978723404,0.000999000999000999,235,36
aws-amplify_amplify-cli,0.8620689655172413,0.025974025974025976,29,13
apache_dolphinscheduler,0.8100592925782049,0.000999000999000999,4891,193
NVIDIA_TensorRT,0.9230769230769231,0.000999000999000999,52,12
quarto-dev_quarto-cli,0.8461538461538461,0.2937062937062937,13,6
Azure_azure-sdk-for-java,0.8707865168539326,0.000999000999000999,356,34
status-im_status-desktop,1.0,0.16783216783216784,12,7
microsoft_pylance-release,0.8556701030927835,0.000999000999000999,97,16
bounswe_bounswe2022group2,1.0,1.0,25,10
kyma-project_busola,0,1.0,0,0
microsoft_vscode-jupyter,0.8098591549295775,0.000999000999000999,142,21
vesoft-inc_nebula,0.8738938053097345,0.000999000999000999,452,47
metersphere_metersphere,1.0,0.9820179820179821,1,2
eclipse_che,0.9945054945054945,0.000999000999000999,546,42
calcom_cal.com,0.9125799573560768,0.000999000999000999,469,64
coronasafe_care_fe,0.8083333333333333,0.000999000999000999,720,60
primefaces_primefaces,0.7346938775510204,0.000999000999000999,49,13
spring-projects_spring-framework,0.9487179487179487,0.21678321678321677,78,13
Kaiserreich_Kaiserreich-4,1.0,0.058941058941058944,42,13
spyder-ide_spyder,0.7692307692307693,0.002997002997002997,39,10
tensorflow_tensorflow,0.8670618120237087,0.000999000999000999,1181,69
vegaprotocol_frontend-monorepo,0.8,0.007992007992007992,45,15
gitpod-io_gitpod,0.889944576405384,0.000999000999000999,1263,65
ParabolInc_parabol,1.0,0.000999000999000999,115,20
nocodb_nocodb,0.9113924050632911,0.000999000999000999,79,19
PipedreamHQ_pipedream,1.0,0.08691308691308691,19,9
yugabyte_yugabyte-db,1.0,0.3926073926073926,12,8
redpanda-data_redpanda,0.9215686274509803,0.000999000999000999,51,14
openhab_openhab-addons,0.7948717948717948,0.000999000999000999,39,19
dbeaver_dbeaver,1.0,0.000999000999000999,88,16
elastic_beats,0.8275,0.000999000999000999,1200,90
renovatebot_renovate,0.7936507936507936,0.000999000999000999,1197,117
centerofci_mathesar,0.9869565217391304,0.000999000999000999,230,39
microsoft_vscode,0.9901153212520593,0.000999000999000999,607,36
grafana_grafana,0.6306755260243633,0.000999000999000999,1806,114
osmosis-labs_osmosis,0.7555555555555555,0.5454545454545454,45,13
OpenSID_OpenSID,0.7894736842105263,0.000999000999000999,76,16
milvus-io_milvus,0.8650904033379694,0.000999000999000999,719,111
nextcloud_server,0.9440559440559441,0.000999000999000999,572,39
NuGet_Home,0.8905228758169934,0.000999000999000999,612,43
fluent_fluent-bit,0.8333333333333334,0.004995004995004995,60,16
FerretDB_FerretDB,0.9230769230769231,0.000999000999000999,104,22
home-assistant_core,0.6028187059577194,0.000999000999000999,1561,68
glpi-project_glpi,0.9795918367346939,0.000999000999000999,49,13
espressif_arduino-esp32,0.8372093023255814,0.14185814185814186,43,11
cilium_cilium,0.8294430321238734,0.000999000999000999,4327,143
bitnami_containers,1.0,0.000999000999000999,101,18
alcionai_corso,1.0,0.04695304695304695,7,7
prisma_prisma,0.9897959183673469,0.000999000999000999,294,25
bounswe_bounswe2022group1,1.0,0.998001998001998,6,7
mindsdb_mindsdb,0.905862216516902,0.000999000999000999,2337,226
coder_coder,0.9326145552560647,0.000999000999000999,371,31
woocommerce_woocommerce,0.7142857142857143,0.000999000999000999,140,27
GoogleChrome_web.dev,0.853763440860215,0.000999000999000999,930,53
airbytehq_airbyte,0.7311827956989247,0.000999000999000999,93,40
gravitational_teleport,0.9668367346938775,0.000999000999000999,392,57
dotCMS_core,1.0,0.8171828171828172,10,8
ArctosDB_arctos,0.7884615384615384,0.025974025974025976,52,15
dotnet_perf-autofiling-issues,1.0,0.8151848151848152,31,9
longhorn_longhorn,0.9113924050632911,0.000999000999000999,316,30
vectordotdev_vector,1.0,0.000999000999000999,233,29
aws_aws-cdk,0.9645390070921985,0.000999000999000999,423,35
friendica_friendica,1.0,0.0979020979020979,18,9
projectdiscovery_nuclei,1.0,0.000999000999000999,121,19
gravitee-io_issues,0.9295774647887324,0.22777222777222778,71,17
apache_shardingsphere,0.8434382194934766,0.000999000999000999,1303,114
CDCgov_prime-reportstream,1.0,0.12487512487512488,9,10
google_mediapipe,0.8333333333333334,0.21978021978021978,18,12
