Repo,Spearman,Pvalue,NO,SM,NO_max,SM_max
languagetool-org_languagetool,-0.509292427771446,2.4249535530468875e-11,0.05207836621932732,0.18756498176541025,udomai_SteVio89 1.0 0.125,susanaboatto_marcoagpinto 0.0 1.0
strapi_strapi,0.0532637036858805,0.2600422959367771,0.018916756246473706,0.30032818679990747,ronronscelestes_maevalienard 0.19298245614035087 0.26666666666666666,mfrachet_Feranchz 0.0 0.75
opencrvs_opencrvs-core,-0.094817943374006,0.10649492644916653,0.012096178153451313,0.26563039385204334,jamil314_emon-swe-sust 0.2159090909090909 0.3333333333333333,euanmillar_Zangetsu101 0.07692307692307693 0.8333333333333334
datagrok-ai_public,0.08605627537749017,0.5024638079440804,0.010468631897203326,0.3321408089265232,skalkin_dskatov 0.25 0.16666666666666666,dskatov_adrkn 0.0 1.0
apache_inlong,0.07651180526882867,0.013996446483509038,0.013070290014080155,0.31522560066670957,fuweng11_ciscozhou 1.0 0.3333333333333333,herywang_castorqin 0.0 1.0
jmix-framework_jmix,-0.48004226830439295,0.03751687752935265,0.04154325206956786,0.19260577236627852,natfirst_glebfox 0.3333333333333333 0.11764705882352941,KremnevDmitry_GurSergey 0.0 0.5
dotnet_arcade,-0.1032748192504193,0.06804786143739153,0.05199887162282174,0.1677959449096351,garath_epananth 0.5263157894736842 0.3333333333333333,vitek-karas_dagood 0.18248175182481752 1.0
actions_runner-images,0.3759634820075363,9.9624559836749e-29,0.02483900709491383,0.27207818247978904,andy-mishechkin_LeonidLapshin 0.5714285714285714 0.6774193548387096,miketimofeev_al-cheb 0.2289156626506024 0.9
conan-io_conan,0.26832832394073036,1.2230613823501226e-07,0.011518846692350917,0.28180530544839105,jgsogo_danimtb 0.16363636363636364 0.7391304347826086,rasjani_aleksa2808 0.0 1.0
PrefectHQ_prefect,0.009825598406957955,0.686831462012561,0.01817894517564788,0.2016434126601892,marichka-offen_brigidgliwa 0.5 0.2,jeanluciano_Prachi-Jain01 0.0 1.0
PaddlePaddle_PaddleOCR,-0.06221218121558484,0.7531474511099225,0.010223158923173464,0.3172309231576966,tink2123_an1018 0.05555555555555555 0.30434782608695654,livingbody_GreatV 0.014925373134328358 1.0
keycloak_keycloak,-0.03269333613979938,0.6392169668961045,0.01369816421740258,0.1700473434672355,tondrusk_Aboullos 1.0 0.2,rmartinc_mposolda 0.019417475728155338 0.675
vector-im_element-web,0.008126850094263617,0.9232571815566089,0.010566839735853834,0.14501400666747324,reivilibre_c-cal 0.14285714285714285 0.25,stefanceriu_c-cal 0.0 0.5714285714285714
EddieHubCommunity_LinkFree,-0.1838517240019556,4.046946248664591e-287,0.002368958130663339,0.293966390716515,Tejas-Teju_RagibAjmal 1.0 0.3333333333333333,amanpreet-dev_Shiva-Sai-ssb 0.0 1.0
